fill	xmin	xmax	ymin	ymax	key	showSelected1
#BEBEBE	-2	-1	-2.3	-1.7	6	13
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	13
#BEBEBE	-4	-3	-3.3	-2.7	8	13
#BEBEBE	-3	-2	-3.3	-2.7	9	13
#00BFFF	-2	-1	-3.3	-2.7	10	13
#A1DBFF	-1	-6.66133814775094e-16	-3.3	-2.7	11	13
#BEBEBE	-3	-2	-4.3	-3.7	12	13
#BEBEBE	-2	-1	-4.3	-3.7	13	13
#00BFFF	-2	-1	-5.3	-4.7	14	13
#BEBEBE	-1	0	-5.3	-4.7	15	13
#FFFFFF	-1.5	-0.5	-6.3	-5.7	16	13
#00BFFF	-0.5	0.5	-6.3	-5.7	17	13
#FF8C6D	-5	-4	-4.3	-3.7	18	13
#FF0000	-4	-3	-4.3	-3.7	19	13
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	13
#BEBEBE	1	2	-3.3	-2.7	21	13
#EEF8FF	0.5	1.5	-4.3	-3.7	22	13
#00BFFF	1.5	2.5	-4.3	-3.7	23	13
#FF8464	2	3	-3.3	-2.7	24	13
#FF0000	3	4	-3.3	-2.7	25	13
#B4E2FF	-4	-3	-5.3	-4.7	26	13
#FF8969	-3	-2	-5.3	-4.7	27	13
#BEBEBE	-0.5	0.5	-0.3	0.3	1	14
#BEBEBE	-1	0	-1.3	-0.7	2	14
#BEBEBE	0	1	-1.3	-0.7	3	14
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	14
#BEBEBE	1	2	-2.3	-1.7	5	14
#BEBEBE	-2	-1	-2.3	-1.7	6	14
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	14
#BEBEBE	-4	-3	-3.3	-2.7	8	14
#BEBEBE	-3	-2	-3.3	-2.7	9	14
#00BFFF	-2	-1	-3.3	-2.7	10	14
#A1DBFF	-1	-6.66133814775094e-16	-3.3	-2.7	11	14
#BEBEBE	-3	-2	-4.3	-3.7	12	14
#BEBEBE	-2	-1	-4.3	-3.7	13	14
#00BFFF	-1.83333333333333	-0.833333333333334	-5.3	-4.7	14	14
#BEBEBE	-0.833333333333333	0.166666666666667	-5.3	-4.7	15	14
#FFFFFF	-1.33333333333333	-0.333333333333333	-6.3	-5.7	16	14
#00BFFF	-0.333333333333333	0.666666666666667	-6.3	-5.7	17	14
#BEBEBE	-5	-4	-4.3	-3.7	18	14
#FF0000	-4	-3	-4.3	-3.7	19	14
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	14
#BEBEBE	1	2	-3.3	-2.7	21	14
#EEF8FF	0.5	1.5	-4.3	-3.7	22	14
#00BFFF	1.5	2.5	-4.3	-3.7	23	14
#FF8464	2	3	-3.3	-2.7	24	14
#FF0000	3	4	-3.3	-2.7	25	14
#B4E2FF	-3.83333333333333	-2.83333333333333	-5.3	-4.7	26	14
#FF8969	-2.83333333333333	-1.83333333333333	-5.3	-4.7	27	14
#FF0000	-5.83333333333333	-4.83333333333333	-5.3	-4.7	28	14
#FFA78C	-4.83333333333333	-3.83333333333333	-5.3	-4.7	29	14
#BEBEBE	-0.5	0.5	-0.3	0.3	1	15
#BEBEBE	-1	0	-1.3	-0.7	2	15
#BEBEBE	0	1	-1.3	-0.7	3	15
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	15
#BEBEBE	1	2	-2.3	-1.7	5	15
#BEBEBE	-2	-1	-2.3	-1.7	6	15
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	15
#BEBEBE	-4	-3	-3.3	-2.7	8	15
#BEBEBE	-3	-2	-3.3	-2.7	9	15
#00BFFF	-2	-1	-3.3	-2.7	10	15
#A1DBFF	-1	-6.66133814775094e-16	-3.3	-2.7	11	15
#BEBEBE	-3	-2	-4.3	-3.7	12	15
#BEBEBE	-2	-1	-4.3	-3.7	13	15
#00BFFF	-1.83333333333333	-0.833333333333334	-5.3	-4.7	14	15
#BEBEBE	-0.833333333333333	0.166666666666667	-5.3	-4.7	15	15
#FFFFFF	-1.33333333333333	-0.333333333333333	-6.3	-5.7	16	15
#00BFFF	-0.333333333333333	0.666666666666667	-6.3	-5.7	17	15
#BEBEBE	-5	-4	-4.3	-3.7	18	15
#FF0000	-4	-3	-4.3	-3.7	19	15
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	15
#BEBEBE	1	2	-3.3	-2.7	21	15
#EEF8FF	0.5	1.5	-4.3	-3.7	22	15
#00BFFF	1.5	2.5	-4.3	-3.7	23	15
#FF8464	2	3	-3.3	-2.7	24	15
#FF0000	3	4	-3.3	-2.7	25	15
#B4E2FF	-3.83333333333333	-2.83333333333333	-5.3	-4.7	26	15
#FF8969	-2.83333333333333	-1.83333333333333	-5.3	-4.7	27	15
#FF0000	-5.83333333333333	-4.83333333333333	-5.3	-4.7	28	15
#BEBEBE	-4.83333333333333	-3.83333333333333	-5.3	-4.7	29	15
#FFC7B4	-5.33333333333333	-4.33333333333333	-6.3	-5.7	30	15
#FF0000	-4.33333333333333	-3.33333333333333	-6.3	-5.7	31	15
#BEBEBE	-0.5	0.5	-0.3	0.3	1	16
#BEBEBE	-1	0	-1.3	-0.7	2	16
#BEBEBE	0	1	-1.3	-0.7	3	16
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	16
#BEBEBE	1	2	-2.3	-1.7	5	16
#BEBEBE	-2	-1	-2.3	-1.7	6	16
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	16
#BEBEBE	-4	-3	-3.3	-2.7	8	16
#BEBEBE	-3	-2	-3.3	-2.7	9	16
#00BFFF	-2	-1	-3.3	-2.7	10	16
#BEBEBE	-1	-6.66133814775094e-16	-3.3	-2.7	11	16
#BEBEBE	-3.25	-2.25	-4.3	-3.7	12	16
#BEBEBE	-2.25	-1.25	-4.3	-3.7	13	16
#00BFFF	-2.08333333333333	-1.08333333333333	-5.3	-4.7	14	16
#BEBEBE	-1.08333333333333	-0.0833333333333337	-5.3	-4.7	15	16
#FFFFFF	-1.58333333333333	-0.583333333333334	-6.3	-5.7	16	16
#00BFFF	-0.583333333333334	0.416666666666666	-6.3	-5.7	17	16
#BEBEBE	-5.25	-4.25	-4.3	-3.7	18	16
#FF0000	-4.25	-3.25	-4.3	-3.7	19	16
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	16
#BEBEBE	1	2	-3.3	-2.7	21	16
#EEF8FF	0.75	1.75	-4.3	-3.7	22	16
#00BFFF	1.75	2.75	-4.3	-3.7	23	16
#FF8464	2	3	-3.3	-2.7	24	16
#FF0000	3	4	-3.3	-2.7	25	16
#B4E2FF	-4.08333333333333	-3.08333333333333	-5.3	-4.7	26	16
#FF8969	-3.08333333333333	-2.08333333333333	-5.3	-4.7	27	16
#FF0000	-6.08333333333333	-5.08333333333333	-5.3	-4.7	28	16
#BEBEBE	-5.08333333333333	-4.08333333333333	-5.3	-4.7	29	16
#FFC7B4	-5.58333333333333	-4.58333333333333	-6.3	-5.7	30	16
#FF0000	-4.58333333333333	-3.58333333333333	-6.3	-5.7	31	16
#C0E6FF	-1.25	-0.25	-4.3	-3.7	32	16
#00BFFF	-0.25	0.75	-4.3	-3.7	33	16
#BEBEBE	-0.5	0.5	-0.3	0.3	1	17
#BEBEBE	-1	0	-1.3	-0.7	2	17
#BEBEBE	0	1	-1.3	-0.7	3	17
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	17
#BEBEBE	1	2	-2.3	-1.7	5	17
#BEBEBE	-2	-1	-2.3	-1.7	6	17
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	17
#BEBEBE	-4	-3	-3.3	-2.7	8	17
#BEBEBE	-3	-2	-3.3	-2.7	9	17
#00BFFF	-2	-1	-3.3	-2.7	10	17
#BEBEBE	-1	-6.66133814775094e-16	-3.3	-2.7	11	17
#BEBEBE	-3.5	-2.5	-4.3	-3.7	12	17
#BEBEBE	-2.5	-1.5	-4.3	-3.7	13	17
#00BFFF	-2.33333333333333	-1.33333333333333	-5.3	-4.7	14	17
#BEBEBE	-1.33333333333333	-0.333333333333334	-5.3	-4.7	15	17
#FFFFFF	-1.83333333333333	-0.833333333333334	-6.3	-5.7	16	17
#00BFFF	-0.833333333333334	0.166666666666666	-6.3	-5.7	17	17
#BEBEBE	-5.5	-4.5	-4.3	-3.7	18	17
#FF0000	-4.5	-3.5	-4.3	-3.7	19	17
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	17
#BEBEBE	1	2	-3.3	-2.7	21	17
#EEF8FF	0.5	1.5	-4.3	-3.7	22	17
#00BFFF	1.5	2.5	-4.3	-3.7	23	17
#BEBEBE	2	3	-3.3	-2.7	24	17
#FF0000	3	4	-3.3	-2.7	25	17
#B4E2FF	-4.33333333333333	-3.33333333333333	-5.3	-4.7	26	17
#FF8969	-3.33333333333333	-2.33333333333333	-5.3	-4.7	27	17
#FF0000	-6.33333333333333	-5.33333333333333	-5.3	-4.7	28	17
#BEBEBE	-5.33333333333333	-4.33333333333333	-5.3	-4.7	29	17
#FFC7B4	-5.83333333333333	-4.83333333333333	-6.3	-5.7	30	17
#FF0000	-4.83333333333333	-3.83333333333333	-6.3	-5.7	31	17
#C0E6FF	-1.5	-0.5	-4.3	-3.7	32	17
#00BFFF	-0.5	0.5	-4.3	-3.7	33	17
#FF0000	2.5	3.5	-4.3	-3.7	34	17
#FFA78C	3.5	4.5	-4.3	-3.7	35	17
#BEBEBE	-0.5	0.5	-0.3	0.3	1	18
#BEBEBE	-1	0	-1.3	-0.7	2	18
#BEBEBE	0	1	-1.3	-0.7	3	18
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	18
#BEBEBE	1	2	-2.3	-1.7	5	18
#BEBEBE	-2	-1	-2.3	-1.7	6	18
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	18
#BEBEBE	-4	-3	-3.3	-2.7	8	18
#BEBEBE	-3	-2	-3.3	-2.7	9	18
#00BFFF	-2	-1	-3.3	-2.7	10	18
#BEBEBE	-1	-6.66133814775094e-16	-3.3	-2.7	11	18
#BEBEBE	-3.5	-2.5	-4.3	-3.7	12	18
#BEBEBE	-2.5	-1.5	-4.3	-3.7	13	18
#00BFFF	-2.75	-1.75	-5.3	-4.7	14	18
#BEBEBE	-1.75	-0.75	-5.3	-4.7	15	18
#FFFFFF	-2.25	-1.25	-6.3	-5.7	16	18
#00BFFF	-1.25	-0.25	-6.3	-5.7	17	18
#BEBEBE	-5.5	-4.5	-4.3	-3.7	18	18
#FF0000	-4.5	-3.5	-4.3	-3.7	19	18
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	18
#BEBEBE	1	2	-3.3	-2.7	21	18
#EEF8FF	0.5	1.5	-4.3	-3.7	22	18
#00BFFF	1.5	2.5	-4.3	-3.7	23	18
#BEBEBE	2	3	-3.3	-2.7	24	18
#FF0000	3	4	-3.3	-2.7	25	18
#B4E2FF	-4.75	-3.75	-5.3	-4.7	26	18
#FF8969	-3.75	-2.75	-5.3	-4.7	27	18
#FF0000	-6.75	-5.75	-5.3	-4.7	28	18
#BEBEBE	-5.75	-4.75	-5.3	-4.7	29	18
#FFC7B4	-6.25	-5.25	-6.3	-5.7	30	18
#FF0000	-5.25	-4.25	-6.3	-5.7	31	18
#BEBEBE	-1.5	-0.5	-4.3	-3.7	32	18
#00BFFF	-0.5	0.5	-4.3	-3.7	33	18
#FF0000	2.5	3.5	-4.3	-3.7	34	18
#FFA78C	3.5	4.5	-4.3	-3.7	35	18
#7FD1FF	-0.750000000000001	0.249999999999999	-5.3	-4.7	36	18
#FFFFFF	0.25	1.25	-5.3	-4.7	37	18
#BEBEBE	-0.5	0.5	-0.3	0.3	1	19
#BEBEBE	-1	0	-1.3	-0.7	2	19
#BEBEBE	0	1	-1.3	-0.7	3	19
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	19
#BEBEBE	1	2	-2.3	-1.7	5	19
#BEBEBE	-2	-1	-2.3	-1.7	6	19
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	19
#BEBEBE	-4	-3	-3.3	-2.7	8	19
#BEBEBE	-3	-2	-3.3	-2.7	9	19
#00BFFF	-2	-1	-3.3	-2.7	10	19
#BEBEBE	-1	-6.66133814775094e-16	-3.3	-2.7	11	19
#BEBEBE	-3.5	-2.5	-4.3	-3.7	12	19
#BEBEBE	-2.5	-1.5	-4.3	-3.7	13	19
#00BFFF	-3	-2	-5.3	-4.7	14	19
#BEBEBE	-2	-1	-5.3	-4.7	15	19
#FFFFFF	-2.5	-1.5	-6.3	-5.7	16	19
#00BFFF	-1.5	-0.5	-6.3	-5.7	17	19
#BEBEBE	-5.5	-4.5	-4.3	-3.7	18	19
#FF0000	-4.5	-3.5	-4.3	-3.7	19	19
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	19
#BEBEBE	1	2	-3.3	-2.7	21	19
#BEBEBE	0.5	1.5	-4.3	-3.7	22	19
#00BFFF	1.5	2.5	-4.3	-3.7	23	19
#BEBEBE	2	3	-3.3	-2.7	24	19
#FF0000	3	4	-3.3	-2.7	25	19
#B4E2FF	-5	-4	-5.3	-4.7	26	19
#FF8969	-4	-3	-5.3	-4.7	27	19
#FF0000	-7	-6	-5.3	-4.7	28	19
#BEBEBE	-6	-5	-5.3	-4.7	29	19
#FFC7B4	-6.5	-5.5	-6.3	-5.7	30	19
#FF0000	-5.5	-4.5	-6.3	-5.7	31	19
#BEBEBE	-1.5	-0.5	-4.3	-3.7	32	19
#00BFFF	-0.5	0.5	-4.3	-3.7	33	19
#FF0000	2.5	3.5	-4.3	-3.7	34	19
#FFA78C	3.5	4.5	-4.3	-3.7	35	19
#7FD1FF	-1	-4.44089209850063e-16	-5.3	-4.7	36	19
#FFFFFF	-2.77555756156289e-16	1	-5.3	-4.7	37	19
#FFCFBF	1	2	-5.3	-4.7	38	19
#BEE5FF	2	3	-5.3	-4.7	39	19
#BEBEBE	-0.5	0.5	-0.3	0.3	1	20
#BEBEBE	-1	0	-1.3	-0.7	2	20
#BEBEBE	0	1	-1.3	-0.7	3	20
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	20
#BEBEBE	1	2	-2.3	-1.7	5	20
#BEBEBE	-2	-1	-2.3	-1.7	6	20
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	20
#BEBEBE	-4	-3	-3.3	-2.7	8	20
#BEBEBE	-3	-2	-3.3	-2.7	9	20
#00BFFF	-2	-1	-3.3	-2.7	10	20
#BEBEBE	-1	-6.66133814775094e-16	-3.3	-2.7	11	20
#BEBEBE	-3.5	-2.5	-4.3	-3.7	12	20
#BEBEBE	-2.5	-1.5	-4.3	-3.7	13	20
#00BFFF	-3	-2	-5.3	-4.7	14	20
#BEBEBE	-2	-1	-5.3	-4.7	15	20
#FFFFFF	-2.5	-1.5	-6.3	-5.7	16	20
#00BFFF	-1.5	-0.5	-6.3	-5.7	17	20
#BEBEBE	-5.5	-4.5	-4.3	-3.7	18	20
#FF0000	-4.5	-3.5	-4.3	-3.7	19	20
#00BFFF	-3.33066907387547e-16	1	-3.3	-2.7	20	20
#BEBEBE	1	2	-3.3	-2.7	21	20
#BEBEBE	0.5	1.5	-4.3	-3.7	22	20
#00BFFF	1.5	2.5	-4.3	-3.7	23	20
#BEBEBE	2	3	-3.3	-2.7	24	20
#FF0000	3	4	-3.3	-2.7	25	20
#B4E2FF	-5	-4	-5.3	-4.7	26	20
#FF8969	-4	-3	-5.3	-4.7	27	20
#FF0000	-7	-6	-5.3	-4.7	28	20
#BEBEBE	-6	-5	-5.3	-4.7	29	20
#BEBEBE	-6.5	-5.5	-6.3	-5.7	30	20
#FF0000	-5.5	-4.5	-6.3	-5.7	31	20
#BEBEBE	-1.5	-0.5	-4.3	-3.7	32	20
#00BFFF	-0.5	0.5	-4.3	-3.7	33	20
#FF0000	2.5	3.5	-4.3	-3.7	34	20
#FFA78C	3.5	4.5	-4.3	-3.7	35	20
#7FD1FF	-1	-4.44089209850063e-16	-5.3	-4.7	36	20
#FFFFFF	-2.77555756156289e-16	1	-5.3	-4.7	37	20
#FFCFBF	1	2	-5.3	-4.7	38	20
#BEE5FF	2	3	-5.3	-4.7	39	20
#FF9E81	-7	-6	-7.3	-6.7	40	20
#DFF2FF	-6	-5	-7.3	-6.7	41	20
#BEBEBE	-0.5	0.5	-0.3	0.3	1	21
#BEBEBE	-1	0	-1.3	-0.7	2	21
#BEBEBE	0	1	-1.3	-0.7	3	21
#BEBEBE	-1.11022302462516e-16	1	-2.3	-1.7	4	21
#BEBEBE	1	2	-2.3	-1.7	5	21
#BEBEBE	-2	-1	-2.3	-1.7	6	21
#BEBEBE	-1	-1.11022302462516e-16	-2.3	-1.7	7	21
#BEBEBE	-4	-3	-3.3	-2.7	8	21
#BEBEBE	-3	-2	-3.3	-2.7	9	21
#00BFFF	-2	-1	-3.3	-2.7	10	21
#BEBEBE	-1	-6.66133814775094e-16	-3.3	-2.7	11	21
#BEBEBE	-3.5	-2.5	-4.3	-3.7	12	21
#BEBEBE	-2.5	-1.5	-4.3	-3.7	13	21
#00BFFF	-3	-2	-5.3	-4.7	14	21
#BEBEBE	-2	-1	-5.3	-4.7	15	21
#FFFFFF	-2.5	-1.5	-6.3	-5.7	16	21
