fill	x	y	key	showSelectedlegendfill	clickSelects	showSelected1	showSelected2	PANEL
transparent	0.143081043031998	-1.99208088654854	1 0.143081043031998	sub-optimal	X1<0.143081	0	1	1
transparent	0.148332321085036	-2.39443203251076	1 0.148332321085036	sub-optimal	X1<0.148332	0	1	1
transparent	0.149858307442628	-1.96158116294657	1 0.149858307442628	sub-optimal	X1<0.149858	0	1	1
transparent	0.150485596386716	-2.35327043508593	1 0.150485596386716	sub-optimal	X1<0.150486	0	1	1
transparent	0.156851156265475	-2.77205925730058	1 0.156851156265475	sub-optimal	X1<0.156851	0	1	1
transparent	0.163921556901187	-2.3211586098129	1 0.163921556901187	sub-optimal	X1<0.163922	0	1	1
transparent	0.164737868937664	-1.92212640192108	1 0.164737868937664	sub-optimal	X1<0.164738	0	1	1
transparent	0.166442708112299	-2.29667371651331	1 0.166442708112299	sub-optimal	X1<0.166443	0	1	1
transparent	0.170147194410674	-1.91103288782185	1 0.170147194410674	sub-optimal	X1<0.170147	0	1	1
transparent	0.17518878984265	-1.56946938054389	1 0.17518878984265	sub-optimal	X1<0.175189	0	1	1
transparent	0.178294185781851	-1.90465733594496	1 0.178294185781851	sub-optimal	X1<0.178294	0	1	1
transparent	0.179636680521071	-1.57192631852158	1 0.179636680521071	sub-optimal	X1<0.179637	0	1	1
transparent	0.181497157085687	-1.2775530510321	1 0.181497157085687	sub-optimal	X1<0.181497	0	1	1
transparent	0.182773720822297	-1.57736918929291	1 0.182773720822297	sub-optimal	X1<0.182774	0	1	1
transparent	0.18402334570419	-1.28862692750064	1 0.18402334570419	sub-optimal	X1<0.184023	0	1	1
transparent	0.184777861577459	-1.03390242228485	1 0.184777861577459	sub-optimal	X1<0.184778	0	1	1
transparent	0.185072884894907	-0.811170581017194	1 0.185072884894907	sub-optimal	X1<0.185073	0	1	1
transparent	0.191020168247633	-1.0502339957942	1 0.191020168247633	sub-optimal	X1<0.191020	0	1	1
transparent	0.198249337496236	-1.31645891123216	1 0.198249337496236	sub-optimal	X1<0.198249	0	1	1
transparent	0.199849189142697	-1.60896629364069	1 0.199849189142697	sub-optimal	X1<0.199849	0	1	1
transparent	0.20045562973246	-1.92697903229711	1 0.20045562973246	sub-optimal	X1<0.200456	0	1	1
transparent	0.201244466705248	-1.62395016253853	1 0.201244466705248	sub-optimal	X1<0.201244	0	1	1
transparent	0.203831824124791	-1.94011432004854	1 0.203831824124791	sub-optimal	X1<0.203832	0	1	1
transparent	0.212392318877392	-2.28084169055026	1 0.212392318877392	sub-optimal	X1<0.212392	0	1	1
transparent	0.222250327235088	-1.95566954049096	1 0.222250327235088	sub-optimal	X1<0.222250	0	1	1
transparent	0.232360110268928	-1.65981204817282	1 0.232360110268928	sub-optimal	X1<0.232360	0	1	1
transparent	0.23993882862851	-1.39189251052113	1 0.23993882862851	sub-optimal	X1<0.239939	0	1	1
transparent	0.243136907112785	-1.68051787546415	1 0.243136907112785	sub-optimal	X1<0.243137	0	1	1
transparent	0.251021129544824	-1.99355427364708	1 0.251021129544824	sub-optimal	X1<0.251021	0	1	1
transparent	0.258525689016096	-1.70299054432681	1 0.258525689016096	sub-optimal	X1<0.258526	0	1	1
transparent	0.267083358601667	-1.43851833947659	1 0.267083358601667	sub-optimal	X1<0.267083	0	1	1
transparent	0.274633940192871	-1.72718746828676	1 0.274633940192871	sub-optimal	X1<0.274634	0	1	1
transparent	0.275551112601534	-1.46395667851724	1 0.275551112601534	sub-optimal	X1<0.275551	0	1	1
transparent	0.279929986572824	-1.22505471126627	1 0.279929986572824	sub-optimal	X1<0.279930	0	1	1
transparent	0.28451476036571	-1.49080125779116	1 0.28451476036571	sub-optimal	X1<0.284515	0	1	1
transparent	0.285152392461896	-1.78064888558629	1 0.285152392461896	sub-optimal	X1<0.285152	0	1	1
transparent	0.286204032832757	-1.51905467400385	1 0.286204032832757	sub-optimal	X1<0.286204	0	1	1
transparent	0.287516793585382	-1.28050759940109	1 0.287516793585382	sub-optimal	X1<0.287517	0	1	1
transparent	0.289734941557981	-1.06426790132451	1 0.289734941557981	sub-optimal	X1<0.289735	0	1	1
transparent	0.291737564140931	-1.31004267961166	1 0.291737564140931	sub-optimal	X1<0.291738	0	1	1
transparent	0.294476487673819	-1.09315189617425	1 0.294476487673819	sub-optimal	X1<0.294476	0	1	1
transparent	0.296949366573244	-0.897429237638249	1 0.296949366573244	sub-optimal	X1<0.296949	0	1	1
transparent	0.298555508372374	-1.123117194938	1 0.298555508372374	sub-optimal	X1<0.298556	0	1	1
transparent	0.302601688425057	-1.37286752639827	1 0.302601688425057	sub-optimal	X1<0.302602	0	1	1
transparent	0.307742096367292	-1.64646672535153	1 0.307742096367292	sub-optimal	X1<0.307742	0	1	1
transparent	0.311019049375318	-1.4062277050725	1 0.311019049375318	sub-optimal	X1<0.311019	0	1	1
transparent	0.313761122408323	-1.18644721423212	1 0.313761122408323	sub-optimal	X1<0.313761	0	1	1
transparent	0.319793840171769	-1.44094186342525	1 0.319793840171769	sub-optimal	X1<0.319794	0	1	1
transparent	0.329834020347334	-1.21989995681028	1 0.329834020347334	sub-optimal	X1<0.329834	0	1	1
transparent	0.33800692204386	-1.47705811743842	1 0.33800692204386	sub-optimal	X1<0.338007	0	1	1
transparent	0.343670244561508	-1.75800084376644	1 0.343670244561508	sub-optimal	X1<0.343670	0	1	1
transparent	0.348180329776369	-1.51462996520053	1 0.348180329776369	sub-optimal	X1<0.348180	0	1	1
transparent	0.34924258524552	-1.29063349444797	1 0.34924258524552	sub-optimal	X1<0.349243	0	1	1
transparent	0.350019667414017	-1.55371650428603	1 0.350019667414017	sub-optimal	X1<0.350020	0	1	1
transparent	0.353852582513355	-1.84066552415405	1 0.353852582513355	sub-optimal	X1<0.353853	0	1	1
transparent	0.358912586583756	-2.15148901985944	1 0.358912586583756	sub-optimal	X1<0.358913	0	1	1
transparent	0.367060573771596	-1.88468036660839	1 0.367060573771596	sub-optimal	X1<0.367061	0	1	1
transparent	0.376678721862845	-1.63669977935984	1 0.376678721862845	sub-optimal	X1<0.376679	0	1	1
transparent	0.383774210931733	-1.40720490447995	1 0.383774210931733	sub-optimal	X1<0.383774	0	1	1
transparent	0.387746866676025	-1.19588403693163	1 0.387746866676025	sub-optimal	X1<0.387747	0	1	1
transparent	0.388044474180788	-1.0024544363645	1 0.388044474180788	sub-optimal	X1<0.388044	0	1	1
transparent	0.391096187522635	-1.23545717287746	1 0.391096187522635	sub-optimal	X1<0.391096	0	1	1
transparent	0.395532014663331	-1.49272760805118	1 0.395532014663331	sub-optimal	X1<0.395532	0	1	1
transparent	0.398266981705092	-1.77437048241805	1 0.398266981705092	sub-optimal	X1<0.398267	0	1	1
transparent	0.400309294695035	-1.53808166640198	1 0.400309294695035	sub-optimal	X1<0.400309	0	1	1
transparent	0.401871886919253	-1.31930329845582	1 0.401871886919253	sub-optimal	X1<0.401872	0	1	1
transparent	0.40396245860029	-1.11781880864589	1 0.40396245860029	sub-optimal	X1<0.403962	0	1	1
transparent	0.405984268174507	-0.933435738957343	1 0.405984268174507	sub-optimal	X1<0.405984	0	1	1
transparent	0.4168148789322	-1.15934177890884	1 0.4168148789322	sub-optimal	X1<0.416815	0	1	1
transparent	0.427291237749159	-0.971872542295984	1 0.427291237749159	sub-optimal	X1<0.427291	0	1	1
transparent	0.432563537382521	-0.801198725456743	1 0.432563537382521	sub-optimal	X1<0.432564	0	1	1
transparent	0.438759828102775	-0.647191346774804	1 0.438759828102775	sub-optimal	X1<0.438760	0	1	1
transparent	0.441852807882242	-0.509742698649944	1 0.441852807882242	sub-optimal	X1<0.441853	0	1	1
transparent	0.444241595338099	-0.388765905135131	1 0.444241595338099	sub-optimal	X1<0.444242	0	1	1
transparent	0.4490931147011	-0.284194578173555	1 0.4490931147011	sub-optimal	X1<0.449093	0	1	1
transparent	0.457439052755944	-0.1959825689718	1 0.457439052755944	sub-optimal	X1<0.457439	0	1	1
transparent	0.462654642178677	-0.124103812062856	1 0.462654642178677	sub-optimal	X1<0.462655	0	1	1
transparent	0.465913347317837	-0.214670865062146	1 0.465913347317837	sub-optimal	X1<0.465913	0	1	1
transparent	0.473298299242742	-0.139046712837484	1 0.473298299242742	sub-optimal	X1<0.473298	0	1	1
transparent	0.483675657189451	-0.0797375386815418	1 0.483675657189451	sub-optimal	X1<0.483676	0	1	1
transparent	0.495371556142345	-0.0367733820504839	1 0.495371556142345	sub-optimal	X1<0.495372	0	1	1
transparent	0.502510058227927	-0.0102046165261527	1 0.502510058227926	sub-optimal	X1<0.502510	0	1	1
transparent	0.50866599928122	-0.000102248845593067	1 0.50866599928122	sub-optimal	X1<0.508666	0	1	1
transparent	0.523912533186376	-0.00655831592413847	1 0.523912533186376	sub-optimal	X1<0.523913	0	1	1
transparent	0.536206377553754	-0.0296863842785058	1 0.536206377553754	sub-optimal	X1<0.536206	0	1	1
transparent	0.541436879779212	-0.0696221574256697	1 0.541436879779212	sub-optimal	X1<0.541437	0	1	1
transparent	0.546994024771266	-0.126524198112605	1 0.546994024771266	sub-optimal	X1<0.546994	0	1	1
transparent	0.5513289043447	-0.200574773653358	1 0.5513289043447	sub-optimal	X1<0.551329	0	1	1
transparent	0.556530848611146	-0.113210258407008	1 0.556530848611146	sub-optimal	X1<0.556531	0	1	1
transparent	0.561612074496225	-0.184020722115235	1 0.561612074496225	sub-optimal	X1<0.561612	0	1	1
transparent	0.56591929984279	-0.272344921851726	1 0.56591929984279	sub-optimal	X1<0.565919	0	1	1
transparent	0.570373913738877	-0.378437855045974	1 0.570373913738877	sub-optimal	X1<0.570374	0	1	1
transparent	0.572215375024825	-0.502582956626753	1 0.572215375024825	sub-optimal	X1<0.572215	0	1	1
transparent	0.573005669168197	-0.645093740458663	1 0.573005669168197	sub-optimal	X1<0.573006	0	1	1
transparent	0.573851637658663	-0.478192454003164	1 0.573851637658663	sub-optimal	X1<0.573852	0	1	1
transparent	0.58514691866003	-0.61829682052749	1 0.58514691866003	sub-optimal	X1<0.585147	0	1	1
transparent	0.60493490321096	-0.777386472212527	1 0.60493490321096	sub-optimal	X1<0.604935	0	1	1
transparent	0.619537319638766	-0.95587168708829	1 0.619537319638766	sub-optimal	X1<0.619537	0	1	1
transparent	0.626159008126706	-1.1542016618337	1 0.626159008126706	sub-optimal	X1<0.626159	0	1	1
transparent	0.628333056811243	-1.37286752639827	1 0.628333056811243	sub-optimal	X1<0.628333	0	1	1
transparent	0.639989405288361	-1.61240575709297	1 0.639989405288361	sub-optimal	X1<0.639989	0	1	1
transparent	0.650781711214222	-1.87340204725314	1 0.650781711214222	sub-optimal	X1<0.650782	0	1	1
transparent	0.656476598698646	-2.15649570592706	1 0.656476598698646	sub-optimal	X1<0.656477	0	1	1
transparent	0.663753587985411	-2.46238466895355	1 0.663753587985411	sub-optimal	X1<0.663754	0	1	1
transparent	0.666417032596655	-2.7918312239419	1 0.666417032596655	sub-optimal	X1<0.666417	0	1	1
transparent	0.667694592149928	-3.14566857196283	1 0.667694592149928	sub-optimal	X1<0.667695	0	1	1
transparent	0.670081232441589	-3.52480837538471	1 0.670081232441589	sub-optimal	X1<0.670081	0	1	1
transparent	0.677701175562106	-3.93024947482937	1 0.677701175562106	sub-optimal	X1<0.677701	0	1	1
#4DAF4A	0.688528754864819	-4.36308800081682	1 0.688528754864819	chosen_split	X1<0.688529	0	1	1
transparent	0.698014061432332	-3.91110892770845	1 0.698014061432332	sub-optimal	X1<0.698014	0	1	1
transparent	0.706279883044772	-4.34917391523067	1 0.706279883044772	sub-optimal	X1<0.706280	0	1	1
transparent	0.72019333508797	-3.89612954913221	1 0.72019333508797	sub-optimal	X1<0.720193	0	1	1
transparent	0.73169618670363	-4.34010259716851	1 0.73169618670363	sub-optimal	X1<0.731696	0	1	1
transparent	0.734751404146664	-3.88550658088096	1 0.734751404146664	sub-optimal	X1<0.734751	0	1	1
transparent	0.742455668747425	-3.45338415641865	1 0.742455668747425	sub-optimal	X1<0.742456	0	1	1
transparent	0.752031189505942	-3.04399800688768	1 0.752031189505942	sub-optimal	X1<0.752031	0	1	1
transparent	0.756336993305013	-2.65766169455131	1 0.756336993305013	sub-optimal	X1<0.756337	0	1	1
transparent	0.757797238882631	-3.03387460807843	1 0.757797238882631	sub-optimal	X1<0.757797	0	1	1
transparent	0.75944811035879	-3.44155266761689	1 0.75944811035879	sub-optimal	X1<0.759448	0	1	1
transparent	0.765270584844984	-3.02759348722375	1 0.765270584844984	sub-optimal	X1<0.765271	0	1	1
transparent	0.774954191991128	-2.63685916944669	1 0.774954191991128	sub-optimal	X1<0.774954	0	1	1
transparent	0.780066763050854	-2.26981123940408	1 0.780066763050854	sub-optimal	X1<0.780067	0	1	1
transparent	0.783065955736674	-2.63171336122682	1 0.783065955736674	sub-optimal	X1<0.783066	0	1	1
transparent	0.790082178777084	-3.02771553188038	1 0.790082178777084	sub-optimal	X1<0.790082	0	1	1
transparent	0.794574634172022	-2.63043734419944	1 0.794574634172022	sub-optimal	X1<0.794575	0	1	1
transparent	0.802527984022163	-2.2571965744996	1 0.802527984022163	sub-optimal	X1<0.802528	0	1	1
transparent	0.810294703580439	-1.90864060134334	1 0.810294703580439	sub-optimal	X1<0.810295	0	1	1
transparent	0.811128479079343	-2.25614977360664	1 0.811128479079343	sub-optimal	X1<0.811128	0	1	1
transparent	0.812777684652247	-2.64097336399615	1 0.812777684652247	sub-optimal	X1<0.812778	0	1	1
transparent	0.815746196662076	-3.06577996934988	1 0.815746196662076	sub-optimal	X1<0.815746	0	1	1
transparent	0.821562366443686	-2.65373710896256	1 0.821562366443686	sub-optimal	X1<0.821562	0	1	1
transparent	0.82712506945245	-2.26640813205958	1 0.82712506945245	sub-optimal	X1<0.827125	0	1	1
transparent	0.831185470568016	-2.67231840184226	1 0.831185470568016	sub-optimal	X1<0.831185	0	1	1
transparent	0.835168996243738	-3.12361626308947	1 0.835168996243738	sub-optimal	X1<0.835169	0	1	1
transparent	0.837000492843799	-2.69751870447018	1 0.837000492843799	sub-optimal	X1<0.837000	0	1	1
transparent	0.838741493294947	-3.16506582252248	1 0.838741493294947	sub-optimal	X1<0.838741	0	1	1
transparent	0.842400090419687	-2.73034188467872	1 0.842400090419687	sub-optimal	X1<0.842400	0	1	1
transparent	0.848988728015684	-2.3211586098129	1 0.848988728015684	sub-optimal	X1<0.848989	0	1	1
transparent	0.853634609957226	-2.77205925730058	1 0.853634609957226	sub-optimal	X1<0.853635	0	1	1
transparent	0.855122883920558	-2.35327043508593	1 0.855122883920558	sub-optimal	X1<0.855123	0	1	1
transparent	0.857799059362151	-1.96158116294657	1 0.857799059362151	sub-optimal	X1<0.857799	0	1	1
transparent	0.863458890118636	-1.59845191276753	1 0.863458890118636	sub-optimal	X1<0.863459	0	1	1
transparent	0.868352849618532	-1.26557427111541	1 0.868352849618532	sub-optimal	X1<0.868353	0	1	1
transparent	0.870778688578866	-0.964915606015182	1 0.870778688578866	sub-optimal	X1<0.870779	0	1	1
transparent	0.879216786357574	-0.698775751413535	1 0.879216786357574	sub-optimal	X1<0.879217	0	1	1
transparent	0.886360694770701	-0.967705386694007	1 0.886360694770701	sub-optimal	X1<0.886361	0	1	1
transparent	0.891065689153038	-1.29355274490374	1 0.891065689153038	sub-optimal	X1<0.891066	0	1	1
transparent	0.897059583687224	-0.97469369277664	1 0.897059583687223	sub-optimal	X1<0.897060	0	1	1
transparent	0.901385988574475	-1.31762298414742	1 0.901385988574475	sub-optimal	X1<0.901386	0	1	1
transparent	0.911538143409416	-1.73265258165273	1 0.911538143409416	sub-optimal	X1<0.911538	0	1	1
transparent	0.924498238833621	-1.35085072319862	1 0.924498238833621	sub-optimal	X1<0.924498	0	1	1
transparent	0.936597590218298	-1.79670007217331	1 0.936597590218298	sub-optimal	X1<0.936598	0	1	1
transparent	0.943657148745842	-1.39608458972472	1 0.943657148745842	sub-optimal	X1<0.943657	0	1	1
transparent	0.943940573488362	-1.88123265792521	1 0.943940573488362	sub-optimal	X1<0.943941	0	1	1
transparent	0.944642927730456	-1.45760859552985	1 0.944642927730456	sub-optimal	X1<0.944643	0	1	1
transparent	0.945256063947454	-1.99441846121508	1 0.945256063947454	sub-optimal	X1<0.945256	0	1	1
transparent	0.948984158691019	-1.54219011925591	1 0.948984158691019	sub-optimal	X1<0.948984	0	1	1
transparent	0.953166913008317	-1.13050787065259	1 0.953166913008317	sub-optimal	X1<0.953167	0	1	1
transparent	0.958138818736188	-0.76564668172793	1 0.958138818736188	sub-optimal	X1<0.958139	0	1	1
transparent	0.963201896403916	-0.455961752446513	1 0.963201896403916	sub-optimal	X1<0.963202	0	1	1
transparent	0.964770773076452	-0.815591806526697	1 0.964770773076452	sub-optimal	X1<0.964771	0	1	1
transparent	0.968648615060374	-0.476227440850209	1 0.968648615060374	sub-optimal	X1<0.968649	0	1	1
transparent	0.973101663053967	-0.210784573991504	1 0.973101663053967	sub-optimal	X1<0.973102	0	1	1
transparent	0.974826205405407	-0.514187497220661	1 0.974826205405407	sub-optimal	X1<0.974826	0	1	1
transparent	0.97522279410623	-0.214752316397096	1 0.97522279410623	sub-optimal	X1<0.975223	0	1	1
transparent	0.975939782219939	-0.0310884114450971	1 0.975939782219939	sub-optimal	X1<0.975940	0	1	1
transparent	0.976576837012544	-0.0261154492469302	1 0.976576837012544	sub-optimal	X1<0.976577	0	1	1
transparent	0.0237343937624246	-0.00457310117080567	2 0.0237343937624246	sub-optimal	X1<0.023734	1	2	1
transparent	0.0248533471021801	-0.187797130920927	2 0.0248533471021801	sub-optimal	X1<0.024853	1	2	1
transparent	0.030959413619712	-0.556148177660489	2 0.030959413619712	sub-optimal	X1<0.030959	1	2	1
transparent	0.0395219983765855	-0.254409115453029	2 0.0395219983765855	sub-optimal	X1<0.039522	1	2	1
transparent	0.0435703630791977	-0.0846079969443707	2 0.0435703630791977	sub-optimal	X1<0.043570	1	2	1
transparent	0.0550734286662191	-0.323192938984732	2 0.0550734286662191	sub-optimal	X1<0.055073	1	2	1
transparent	0.0655585838248953	-0.676369783821414	2 0.0655585838248953	sub-optimal	X1<0.065559	1	2	1
transparent	0.0704574675764889	-0.394257924428089	2 0.0704574675764889	sub-optimal	X1<0.070457	1	2	1
transparent	0.0763374969828874	-0.746221131832058	2 0.0763374969828874	sub-optimal	X1<0.076337	1	2	1
transparent	0.078479875694029	-0.46772095334795	2 0.078479875694029	sub-optimal	X1<0.078480	1	2	1
transparent	0.0821269832085818	-0.820571947569079	2 0.0821269832085818	sub-optimal	X1<0.082127	1	2	1
transparent	0.0860745509853587	-1.24656679352434	2 0.0860745509853587	sub-optimal	X1<0.086075	1	2	1
transparent	0.0900922525906935	-1.73635511075808	2 0.0900922525906935	sub-optimal	X1<0.090092	1	2	1
transparent	0.0970493158092722	-1.32149406215329	2 0.0970493158092722	sub-optimal	X1<0.097049	1	2	1
transparent	0.103078606305644	-1.80408293126222	2 0.103078606305644	sub-optimal	X1<0.103079	1	2	1
transparent	0.107819334021769	-1.40241862157053	2 0.107819334021769	sub-optimal	X1<0.107819	1	2	1
transparent	0.11281948746182	-1.88073632981242	2 0.11281948746182	sub-optimal	X1<0.112819	1	2	1
transparent	0.11519660113845	-2.4112288387286	2 0.11519660113845	sub-optimal	X1<0.115197	1	2	1
transparent	0.116796790622175	-1.96507187841901	2 0.116796790622175	sub-optimal	X1<0.116797	1	2	1
transparent	0.123480718466453	-2.49177735707683	2 0.123480718466453	sub-optimal	X1<0.123481	1	2	1
transparent	0.128917979658581	-3.06576269331958	2 0.128917979658581	sub-optimal	X1<0.128918	1	2	1
transparent	0.129889608710073	-3.68455512173458	2 0.129889608710073	sub-optimal	X1<0.129890	1	2	1
transparent	0.131496121990494	-3.15268728940642	2 0.131496121990494	sub-optimal	X1<0.131496	1	2	1
transparent	0.135558155016042	-3.76818512163541	2 0.135558155016042	sub-optimal	X1<0.135558	1	2	1
transparent	0.143081043031998	-4.4262194484896	2 0.143081043031998	sub-optimal	X1<0.143081	1	2	1
transparent	0.148332321085036	-5.12550496370022	2 0.148332321085036	sub-optimal	X1<0.148332	1	2	1
transparent	0.149858307442628	-4.52071848946811	2 0.149858307442628	sub-optimal	X1<0.149858	1	2	1
transparent	0.150485596386716	-5.2185843763704	2 0.150485596386716	sub-optimal	X1<0.150486	1	2	1
transparent	0.156851156265475	-5.95694716396535	2 0.156851156265475	sub-optimal	X1<0.156851	1	2	1
transparent	0.163921556901187	-5.3268897933274	2 0.163921556901187	sub-optimal	X1<0.163922	1	2	1
transparent	0.164737868937664	-4.74859597919529	2 0.164737868937664	sub-optimal	X1<0.164738	1	2	1
transparent	0.166442708112299	-5.44943199344944	2 0.166442708112299	sub-optimal	X1<0.166443	1	2	1
transparent	0.170147194410674	-4.88065068763244	2 0.170147194410674	sub-optimal	X1<0.170147	1	2	1
transparent	0.17518878984265	-4.35584123440994	2 0.17518878984265	sub-optimal	X1<0.175189	1	2	1
transparent	0.178294185781851	-5.02435397079532	2 0.178294185781851	sub-optimal	X1<0.178294	1	2	1
transparent	0.179636680521071	-4.50431042806552	2 0.179636680521071	sub-optimal	X1<0.179637	1	2	1
transparent	0.181497157085687	-4.02251873205698	2 0.181497157085687	sub-optimal	X1<0.181497	1	2	1
transparent	0.182773720822297	-4.66304335517124	2 0.182773720822297	sub-optimal	X1<0.182774	1	2	1
transparent	0.18402334570419	-4.1826139535013	2 0.18402334570419	sub-optimal	X1<0.184023	1	2	1
transparent	0.184777861577459	-3.73609614243834	2 0.184777861577459	sub-optimal	X1<0.184778	1	2	1
transparent	0.185072884894907	-3.32150228283318	2 0.185072884894907	sub-optimal	X1<0.185073	1	2	1
transparent	0.191020168247633	-3.90461687004306	2 0.191020168247633	sub-optimal	X1<0.191020	1	2	1
transparent	0.198249337496236	-4.53205756477333	2 0.198249337496236	sub-optimal	X1<0.198249	1	2	1
transparent	0.199849189142697	-5.20405077183557	2 0.199849189142697	sub-optimal	X1<0.199849	1	2	1
transparent	0.20045562973246	-5.92102912950641	2 0.20045562973246	sub-optimal	X1<0.200456	1	2	1
transparent	0.201244466705248	-5.40764002599182	2 0.201244466705248	sub-optimal	X1<0.201244	1	2	1
transparent	0.203831824124791	-6.1387496963274	2 0.203831824124791	sub-optimal	X1<0.203832	1	2	1
transparent	0.212392318877392	-6.916603662928	2 0.212392318877392	sub-optimal	X1<0.212392	1	2	1
transparent	0.222250327235088	-6.37082841235493	2 0.222250327235088	sub-optimal	X1<0.222250	1	2	1
transparent	0.232360110268928	-5.85390077562384	2 0.232360110268928	sub-optimal	X1<0.232360	1	2	1
transparent	0.23993882862851	-5.364477985866	2 0.23993882862851	sub-optimal	X1<0.239939	1	2	1
transparent	0.243136907112785	-6.09842434716856	2 0.243136907112785	sub-optimal	X1<0.243137	1	2	1
transparent	0.251021129544824	-6.88206734576424	2 0.251021129544824	sub-optimal	X1<0.251021	1	2	1
transparent	0.258525689016096	-6.35869525362202	2 0.258525689016096	sub-optimal	X1<0.258526	1	2	1
transparent	0.267083358601667	-5.86084335279666	2 0.267083358601667	sub-optimal	X1<0.267083	1	2	1
transparent	0.274633940192871	-6.63604558084772	2 0.274633940192871	sub-optimal	X1<0.274634	1	2	1
transparent	0.275551112601534	-6.13305577824012	2 0.275551112601534	sub-optimal	X1<0.275551	1	2	1
transparent	0.279929986572824	-5.65378016585537	2 0.279929986572824	sub-optimal	X1<0.279930	1	2	1
transparent	0.28451476036571	-6.42327524062343	2 0.28451476036571	sub-optimal	X1<0.284515	1	2	1
transparent	0.285152392461896	-7.24838288355169	2 0.285152392461896	sub-optimal	X1<0.285152	1	2	1
transparent	0.286204032832757	-6.73327919690532	2 0.286204032832757	sub-optimal	X1<0.286204	1	2	1
transparent	0.287516793585382	-6.24042328146003	2 0.287516793585382	sub-optimal	X1<0.287517	1	2	1
transparent	0.289734941557981	-5.769113536831	2 0.289734941557981	sub-optimal	X1<0.289735	1	2	1
transparent	0.291737564140931	-6.564605549466	2 0.291737564140931	sub-optimal	X1<0.291738	1	2	1
transparent	0.294476487673819	-6.08500813624038	2 0.294476487673819	sub-optimal	X1<0.294476	1	2	1
transparent	0.296949366573244	-5.6257506740387	2 0.296949366573244	sub-optimal	X1<0.296949	1	2	1
transparent	0.298555508372374	-6.42395331712406	2 0.298555508372374	sub-optimal	X1<0.298556	1	2	1
transparent	0.302601688425057	-7.28666534827597	2 0.302601688425057	sub-optimal	X1<0.302602	1	2	1
transparent	0.307742096367292	-8.21791108363674	2 0.307742096367292	sub-optimal	X1<0.307742	1	2	1
transparent	0.311019049375318	-7.69063028035984	2 0.311019049375318	sub-optimal	X1<0.311019	1	2	1
transparent	0.313761122408323	-7.1825385204199	2 0.313761122408323	sub-optimal	X1<0.313761	1	2	1
transparent	0.319793840171769	-8.12825144806295	2 0.319793840171769	sub-optimal	X1<0.319794	1	2	1
transparent	0.329834020347334	-7.60933470791083	2 0.329834020347334	sub-optimal	X1<0.329834	1	2	1
transparent	0.33800692204386	-8.60427302539016	2 0.33800692204386	sub-optimal	X1<0.338007	1	2	1
transparent	0.343670244561508	-9.68486790321198	2 0.343670244561508	sub-optimal	X1<0.343670	1	2	1
